word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,affiliation,compound,pos,neg,neu,frequency,sentiment
pierre,joris,commentary,pierre,joris,wiedemannfarrar,straus,giroux,cloth,dome,Left,0.0,0.0,0.0,1.0,3689,Neutral
sense,critics,especially,germany,eager,his,work,truly,his,placed,Left,0.5,0.176,0.072,0.752,520,Positive
friedrich,hölderlin,rainer,maria,rilke,tradition,german,lyric,poetry,composed,Left,0.0,0.0,0.0,1.0,3689,Neutral
butler,yeats,later,would,translate,dickinson,identified,strongly,franz,kafka,Left,0.3,0.077,0.0,0.923,433,Positive
mirabeau,bridge,apollinaire,eternalized,poem,world,celan,’,death,entirety,Left,-0.6,0.0,0.14,0.86,208,Negative
speaking,jewish,family,romania,died,fifty,years,later—a,months,shy,Left,-0.7,0.0,0.189,0.811,128,Negative
laughing,knife,fork,crossed,his,eyes,wrinkles,his,forehead,embarrassment,Left,0.1,0.106,0.096,0.797,197,Positive
exploited,years,later,told,poet,bachmann,his,lover,“,deathfugue,Left,0.7,0.242,0.091,0.667,455,Positive
memoir,dome,walks,paul,celan,daive,french,language,poet,close,Left,0.0,0.0,0.0,1.0,3689,Neutral
least,celan,distant,cousin,james,poem,seem,like,miniature,ulysses,Left,0.4,0.091,0.0,0.909,762,Positive
contemplate,poetically,describe,auschwitz,nightingale,perspective,”,like,adorno,celan,Left,0.4,0.094,0.0,0.906,762,Positive
goethe,’,faust,she,incarnation,combs,golden,hair,dreamlike,poem,Left,0.0,0.0,0.0,1.0,3689,Neutral
ends,poem,“,golden,hair,ashen,hair,shulamith,”,symbolism,Left,0.0,0.0,0.0,1.0,3689,Neutral
european,modernism,friedrich,hölderlin,rainer,rilke,else,tradition,german,lyric,Left,0.0,0.0,0.0,1.0,3689,Neutral
paul,antschel,pseudonym,used,several,names,young,child,born,czernowitz,Left,0.0,0.0,0.0,1.0,3689,Neutral
major,collection,published,mohn,gedächtnis,memory,concludes,enigmatic,poem,“,Left,0.0,0.0,0.0,1.0,3689,Neutral
poetry,terrors,twentieth,century,memory,threshold,speech,collected,earlier,poetry,Left,-0.6,0.0,0.126,0.874,208,Negative
first,published,french,english,translation,waldrop,reprinted,year,city,lights,Left,0.0,0.0,0.0,1.0,3689,Neutral
us,forth,human,dark,wild,paths,evenings,front,ofyou,heaven,Left,0.5,0.117,0.0,0.883,520,Positive
burned,jews,made,wear,yellow,celan,put,forced,labor—much,time,Left,-0.5,0.0,0.107,0.893,272,Negative
compression,joris,leaves,two,conjoined,german,’,distinctive,capacity,forge,Left,0.0,0.0,0.0,1.0,3689,Neutral
eternal,feminine,goethe,’,faust,incarnation,lorelei,combs,golden,hair,Left,0.0,0.0,0.0,1.0,3689,Neutral
homage,sabbath—specifically,ritual,traditionally,performed,lighting,candle,mark,beginning,day,Left,0.0,0.0,0.0,1.0,3689,Neutral
howard,’,netflix,adaptation,‘,,,,,,Left,0.0,0.0,0.0,1.0,3689,Neutral
despite,fine,acting,amy,adams,’,loving,opioid,addicted,mother,Left,0.5,0.137,0.056,0.807,520,Positive
hillbilly,veer,heartbeat,yokel,hijinks,hillbillies,savage,imbecility,deliverance,symbolic,Left,-0.5,0.0,0.107,0.893,272,Negative
among,oldest,best,loved,stories,fair,lady,pretty,woman,americans,Left,0.9,0.382,0.0,0.618,100,Positive
blue,sky,spider,web,shining,pulsing,bullfrog,resting,shade,green,Left,0.0,0.0,0.0,1.0,3689,Neutral
conditions,never,resolved,simply,observed,catte,notes,getting,wrong,appalachia,Left,-0.6,0.0,0.161,0.839,208,Negative
hunting,season,school,holiday,perkins,restaurant,demolition,derby,county,fair,Left,0.6,0.172,0.0,0.828,486,Positive
militia,planned,abduct,michigan,governor,whitmer,sweetness,pastoral,origin,myth—the,Left,0.5,0.113,0.0,0.887,520,Positive
got,teeth,”,’,family,sullied,“,’,call,mom,Left,0.0,0.0,0.0,1.0,3689,Neutral
fact,probably,smarter,anyone,goddamned,coddled,vivaldi,playing,cohort,heated,Left,0.2,0.157,0.092,0.752,321,Positive
surprising,painting,painting,backwoodsmen,done,watercolors,pastel,oils,raccoon,hatted,Left,0.3,0.077,0.0,0.923,433,Positive
abduct,michigan,’,governor,historian,silber,’,romance,reunion,northerners,Left,0.6,0.135,0.0,0.865,486,Positive
largely,descendants,scots,irish,historian,dunbar,ortiz,documented,shored,claim,Left,0.0,0.0,0.0,1.0,3689,Neutral
calls,“,nostalgic,groups,”,means,everything,kkk,militia,planned,Left,0.0,0.0,0.0,1.0,3689,Neutral
best,loved,stories,cinderella,fair,pretty,woman,americans,particular,love,Left,1.0,0.459,0.0,0.541,2,Positive
home,replies,his,mother,smartest,’,ever,met—in,fact,probably,Left,0.6,0.143,0.0,0.857,486,Positive
jenner,vanity,fair,ran,article,samuels,charging,dolezal,“,dishonesty,Left,0.1,0.085,0.07,0.846,197,Positive
related,complications,white,women,explains,geronimus,public,health,researcher,professor,Left,0.0,0.0,0.0,1.0,3689,Neutral
consider,different,case,indigenous,peoples,years,percent,children,indigenous,peoples,Left,0.0,0.0,0.0,1.0,3689,Neutral
burdened,legacy,patriarchy,feminist,icon,mackinnon,recently,said,“,anybody,Left,-0.4,0.0,0.101,0.899,256,Negative
group,feminists,including,germaine,greer,burkett,furious,jenner,glamour,’,Left,-0.1,0.113,0.123,0.764,152,Negative
correct,answer,case,diallo,anyone,lacking,black,heritage,“,”,Left,0.0,0.0,0.0,1.0,3689,Neutral
small,group,feminists,including,germaine,elinor,burkett,furious,jenner,glamour,Left,-0.1,0.109,0.119,0.772,152,Negative
rachel,dolezal,caitlyn,jenner,laverne,,,,,,Left,-0.6,0.0,0.135,0.865,208,Negative
misogyny,go,around,transfeminist,author,serano,argues,rooted,deeply,entrenched,Left,-0.4,0.0,0.094,0.906,256,Negative
phrase,emblazoned,vanity,fair,’,cover,caitlyn,jenner,revealed,transgender,Left,0.1,0.085,0.07,0.846,197,Positive
