Left Political,Left Emotional,Right Political,Right Emotional,Window Size
uncertainty,intellectual,michigan,powerful,5
cultural,aesthetics,republicans,reported,5
force,singular,investigation,refusal,5
leave,movie,democrat,hopes,5
work,unique,secretary,lie,5
wages,commit,trump,beat,5
forum,suicide,mexico,regretted,5
working,cow,election,failing,5
philosophical,celebrated,game,recruit,5
working,matter,religious,unexpectedly,5
domestic,future,views,beating,5
work,capitalist,religious,beat,5
beauvoir,committed,candidate,interview,5
beauvoir,suicide,senate,published,5
reading,cow,election,future,5
home,celebrated,secular,reporter,5
middle,recite,media,menu,5
action,irony,catholics,season,5
working,study,trump,proud,5
disobedience,establishment,money,serve,5
left,fearful,work,enjoy,5
right,reality,jobs,continued,5
violence,boston,pay,effort,5
forum,regular,student,attention,5
radical,published,loans,diplomatic,5
equality,late,pay,meeting,5
media,virus,michigan,photo,5
national,spread,biden,gifted,5
national,associate,critical,younger,5
security,medical,trump,violent,5
security,officer,investigation,horror,5
racial,acknowledge,leaders,medium,5
forum,transmission,apartheid,perform,5
president,mid,south,exorcism,5
public,cent,africa,daughter,5
economics,fact,election,aged,5
term,check,barack,medium,5
neoliberalism,related,obama,possessed,5
forum,fight,campaign,demon,5
ultra,chair,campaign,join,5
right,deputy,hand,small,5
power,strongly,democrats,injured,5
economies,late,democratic,car,5
forum,average,republican,plowed,5
political,lab,position,crowd,5
political,output,support,horrible,5
political,poisoning,street,trainer,5
political,late,young,lying,5
immigration,province,young,ground,5
department,record,security,continued,5
homeland,poisoning,security,permitted,5
security,reason,left,possess,5
security,counts,wing,firearms,5
central,waste,representative,sentence,5
economies,provided,media,prohibit,5
military,vision,popular,legally,5
branch,promotion,audience,ambassador,5
code,achieve,election,reported,5
pride,parts,law,figure,5
survey,finch,thought,shooting,5
department,experienced,obama,word,5
veterans,infection,post,march,5
army,program,reelection,joining,5
vietnam,result,campaign,adviser,5
veterans,morning,campaign,analyst,5
populism,active,trump,ineffectual,5
product,ignore,power,pathetic,5
peace,conduct,influence,analyst,5
populism,medical,obama,female,5
channels,true,obama,team,5
voice,pretending,trump,multiple,5
review,roads,unfair,spoke,5
control,plowed,treatment,daily,5
measures,snow,obama,spoke,5
health,building,office,daily,5
clear,buildings,obama,trend,5
covid,collapse,trump,concerned,5
covid,buildings,executive,daily,5
post,collapse,order,noted,5
health,passenger,republican,vulnerable,5
minister,fall,senators,believed,5
covid,province,exchange,probe,5
testing,basis,culture,believed,5
minister,extremely,carta,afternoon,5
health,concerned,place,situation,5
health,raising,communist,passing,5
working,scolding,china,rest,5
positive,peak,communist,season,5
test,mid,announcement,simply,5
school,important,group,wrong,5
illicit,stroke,constitution,wife,5
covid,transmission,senate,season,5
covid,flatten,elections,received,5
right,virus,gop,giving,5
british,finite,needs,medal,5
illicit,resources,gop,received,5
september,vehicle,hate,medal,5
public,accident,crime,surprised,5
health,period,president,assumed,5
contribution,daily,credit,incorrect,5
testing,confirmed,candidate,surprised,5
coronavirus,covering,president,ambassador,5
countries,period,right,meeting,5
mass,drop,swing,morning,5
testing,expect,states,defend,5
nation,survive,movement,foundation,5
president,officer,vote,reported,5
trump,industry,justice,founder,5
market,basis,death,disappearance,5
tradition,love,senate,reason,5
democratic,growth,candidate,panic,5
countries,fact,senate,recent,5
health,retroactive,dual,musician,5
code,march,democrats,related,5
code,program,senate,love,5
federal,emergency,candidate,love,5
privacy,hospital,democratic,agree,5
commissioner,province,challenger,history,5
british,figure,single,navy,5
imagined,proceed,public,uniform,5
covid,explore,senate,related,5
health,opening,seat,potential,5
schools,routine,democratic,detriment,5
voluntary,fall,challenger,anchor,5
voice,medical,biden,chairwoman,5
relative,scale,nominee,quality,5
covid,likelihood,office,decent,5
health,multiple,country,size,5
data,subsidy,senate,inch,5
business,reported,elections,wild,5
revenue,urgent,chest,card,5
chief,transition,question,club,5
executive,normalcy,republican,heart,5
government,ability,nominee,spade,5
public,plan,office,imagination,5
space,widespread,management,wild,5
work,isolation,nationwide,endless,5
term,contradictory,vice,suitable,5
economic,residences,president,toy,5
government,exposed,innovation,makeup,5
money,total,internet,huge,5
wage,march,nationwide,board,5
challenge,deadly,upcoming,strap,5
covid,outbreak,department,exercise,5
pandemic,valley,secretary,lover,5
conditions,emergency,russian,perfect,5
zone,subsidy,department,bracelet,5
risk,directly,foreign,knife,5
work,widespread,minister,bottle,5
positive,round,ministry,clip,5
health,population,department,real,5
staff,reported,court,read,5
working,reported,paid,flame,5
wage,lost,australian,immediately,5
planning,plan,court,flame,5
testing,widespread,paid,troupe,5
health,utilize,court,accused,5
minister,isolate,police,curb,5
testing,confirm,police,troupe,5
crisis,virus,gun,prosecutor,5
health,widespread,ownership,expression,5
minister,round,amendment,troupe,5
centre,reported,right,accused,5
wage,disposal,court,curb,5
testing,deploy,claim,expression,5
relative,center,court,feed,5
health,emergency,prison,profile,5
minister,subsidy,congress,march,5
testing,directly,tax,board,5
testing,subsidy,fraud,scientist,5
capacity,late,air,stinging,5
health,late,elections,scientist,5
minister,cover,republicans,stinging,5
normal,contrast,races,provided,5
capacity,announce,secretary,statement,5
test,dangerous,diplomat,lawyer,5
testing,situation,united,fierce,5
jobs,emergency,nations,protector,5
response,confusion,secretary,account,5
methods,construction,press,release,5
failed,elderly,democratic,manager,5
action,tang,police,restaurant,5
massive,officer,biden,enforcement,5
economic,average,coronavirus,regional,5
workers,late,biden,assistant,5
setting,photo,political,fortunate,5
wage,final,political,expected,5
wage,homeless,network,preliminary,5
majority,journalism,activist,examination,5
british,club,biden,reported,5
term,journalism,political,abdomen,5
coronavirus,vulnerable,political,magistrate,5
pandemic,journalism,network,confirmed,5
security,photo,michigan,assault,5
security,essay,eastern,condition,5
service,photo,district,found,5
mass,essay,trump,alleged,5
chief,writing,federalist,contact,5
public,board,biden,writer,5
health,restaurant,energy,meeting,5
government,shut,mixed,realty,5
online,cream,rules,sic,5
cultural,snacks,department,author,5
press,fee,justice,declining,5
place,assembled,speaker,mid,5
activism,fight,trump,author,5
place,vendor,pardon,daughter,5
place,march,department,reassured,5
place,ending,justice,misinformed,5
service,period,game,reporter,5
street,pilot,presidential,telling,5
department,program,presidential,ultimately,5
public,supervisor,freedom,follow,5
health,pilot,presidential,offer,5
work,program,freedom,dirt,5
covid,father,online,probe,5
start,sister,commissioner,contributor,5
pay,necessity,services,chair,5
east,march,commissioner,lynch,5
community,afford,local,ambassador,5
corporation,allowed,autonomous,transcript,5
motion,real,movement,interview,5
opposition,brown,work,adviser,5
motion,professor,global,clip,5
pandemic,allowed,network,late,5
energy,sunrise,structure,mother,5
access,sunrise,report,afternoon,5
civil,drop,structure,deputy,5
net,lawsuit,south,manager,5
law,construction,national,accuser,5
republican,granted,national,lost,5
issue,literally,presidential,total,5
public,region,presidential,respect,5
policy,mid,post,assault,5
law,ditch,single,disappointed,5
